Matricula, Marca, Modelo, Ano, Dono, Codigo do Veiculo
56-RS-81, Renault, Kangoo, 2000, 1763056, 1696
16-NB-35, Renault, Megane, 2010, 14831279, 1715
78-AB-16, Renault, Megane, 1993, 1481505, 1723
74-BE-35, Renault, Megane, 2000, 14647981, 1727
74-LP-87, Renault, Megane, 2008, 4366705, 1732
31-GM-59, Renault, Espace, 2004, 1629219, 1766
28-PK-91, Renault, Kangoo, 2001, 7143705, 1811
52-QJ-54, Renault, Kangoo, 2006, 13048635, 1818
49-OH-84, Renault, Kangoo, 1993, 7079086, 1840
38-QD-25, Renault, Megane, 2003, 14478722, 1852
53-DB-38, Renault, Espace, 2007, 9850207, 1862
25-BO-95, Renault, Espace, 1993, 10102604, 1864
45-UJ-30, Renault, Kangoo, 1994, 6184460, 1873
52-GD-61, Renault, Espace, 1999, 13372412, 1881
07-IS-14, Renault, Megane, 1996, 3484052, 1894
34-SI-17, Renault, Espace, 1997, 7069760, 1903
83-LT-01, Renault, Megane, 1990, 1694280, 1906
47-UE-33, Renault, Kangoo, 1994, 5610735, 1911
24-IQ-52, Renault, Kangoo, 2007, 9195059, 1921
16-VD-26, Renault, Megane, 2002, 5206088, 1934
60-PA-15, Renault, Kangoo, 1990, 14978204, 1966
70-HC-63, Renault, Kangoo, 2007, 13779345, 1968
13-DP-33, Renault, Kangoo, 2001, 1985783, 1978
92-QV-50, Renault, Megane, 1996, 11145746, 1983
18-TG-63, Renault, Megane, 2009, 11890005, 2002
24-OU-80, Renault, Espace, 1990, 1390669, 2007
98-FF-51, Renault, Kangoo, 1995, 14706695, 2012
23-LC-62, Renault, Megane, 1997, 10014053, 2016
42-LT-18, Renault, Espace, 2009, 14477569, 2031
29-LE-16, Renault, Kangoo, 1997, 1575135, 2039
44-KB-07, Renault, Megane, 1994, 8259722, 2051
97-VM-88, Renault, Kangoo, 1993, 5604368, 2052
72-QO-22, Renault, Kangoo, 2000, 8164157, 2080
94-NL-92, Renault, Espace, 2001, 5540969, 2093
18-CJ-44, Renault, Espace, 2002, 3370213, 2095
35-KV-78, Renault, Espace, 2009, 6261315, 2143
39-NK-30, Renault, Espace, 2003, 10072889, 2148
27-UC-30, Renault, Kangoo, 1998, 1248666, 2149
05-KH-95, Renault, Kangoo, 1999, 10280285, 2153
29-GB-98, Renault, Megane, 1998, 13478268, 2154
59-EJ-77, Renault, Megane, 1998, 5855530, 2161
16-KK-38, Renault, Kangoo, 1997, 11306155, 2176
83-ID-50, Renault, Kangoo, 2009, 10347992, 2187
04-KM-13, Renault, Espace, 2009, 7398844, 2191
30-RL-37, Renault, Kangoo, 1996, 7798596, 2218
52-SA-09, Renault, Espace, 2000, 2867114, 2219
64-CU-46, Renault, Kangoo, 2005, 9035629, 2256
90-EQ-36, Renault, Megane, 1990, 6441671, 2287
27-VI-39, Renault, Megane, 1996, 12869104, 2294
99-KI-46, Renault, Megane, 2002, 9084917, 2298
51-VL-75, Renault, Megane, 1992, 2208383, 2305
91-AQ-24, Renault, Kangoo, 1993, 9804126, 2320
49-JI-01, Renault, Kangoo, 2010, 9299691, 2322
17-SA-58, Renault, Megane, 1996, 4054862, 2341
85-FR-41, Renault, Kangoo, 1994, 3241603, 2348
31-PF-28, Renault, Kangoo, 1993, 11923318, 2356
34-NH-32, Renault, Kangoo, 1998, 8179565, 2384
63-TE-47, Renault, Megane, 1992, 11623443, 2404
47-IM-39, Renault, Espace, 1996, 3990341, 2425
87-IV-08, Renault, Espace, 2000, 13258567, 2428
07-OQ-70, Renault, Espace, 1992, 9686490, 2447
16-BR-11, Renault, Espace, 1998, 6950513, 2448
79-CJ-98, Renault, Kangoo, 2006, 9035252, 2468
79-UK-22, Renault, Espace, 1997, 14453395, 2472
86-OR-66, Renault, Megane, 2003, 9526713, 2475
61-JG-33, Renault, Kangoo, 1995, 4808502, 2495
07-UV-76, Renault, Espace, 1993, 12705037, 2555
77-SB-17, Renault, Espace, 2008, 13388972, 2572
57-AV-66, Renault, Kangoo, 1999, 4522000, 2595
96-CV-64, Renault, Kangoo, 1995, 11899023, 2618
89-SA-90, Renault, Megane, 1996, 11490454, 2621
89-KQ-90, Renault, Kangoo, 1992, 14636350, 2627
58-CH-41, Renault, Kangoo, 2001, 2853567, 2640
60-SI-44, Renault, Kangoo, 2007, 3019992, 2681
19-DR-96, Renault, Espace, 1994, 6921204, 2683
68-VN-33, Renault, Kangoo, 2006, 14507053, 2723
65-JU-52, Renault, Kangoo, 1996, 12745152, 2731
68-UD-67, Renault, Kangoo, 2001, 2631075, 2736
89-KS-13, Renault, Megane, 1996, 14826315, 2739
06-AO-81, Renault, Megane, 2006, 14934483, 2740
04-RT-61, Renault, Kangoo, 2005, 13046515, 2746
70-RI-02, Renault, Espace, 2008, 7566008, 2748
37-EC-13, Renault, Espace, 2004, 3938147, 2760
26-ON-04, Renault, Megane, 1997, 6404885, 2777
01-QA-71, Renault, Espace, 1991, 8740279, 2795
07-VO-55, Renault, Espace, 2002, 3363220, 2804
74-FU-44, Renault, Megane, 1998, 10038823, 2846
99-FC-15, Renault, Espace, 2000, 5239249, 2850
12-RD-90, Renault, Kangoo, 2005, 4838388, 2857
92-UL-67, Renault, Megane, 1995, 8190141, 2871
52-BQ-88, Renault, Kangoo, 1993, 11542616, 2892
24-JE-66, Renault, Espace, 1990, 5228078, 2899
90-MI-41, Renault, Megane, 1994, 7145955, 2910
58-KD-47, Renault, Kangoo, 2009, 12210249, 2944
64-ML-05, Renault, Megane, 2004, 13216966, 2953
30-EK-21, Renault, Espace, 1991, 2761504, 2958
95-AP-26, Renault, Kangoo, 1991, 9005388, 2964
10-OS-73, Renault, Kangoo, 1993, 9568522, 2969
54-MR-62, Renault, Kangoo, 2000, 9923367, 2976
35-DS-98, Renault, Megane, 2005, 3448481, 2980
25-IT-52, Renault, Espace, 2008, 13551754, 2982
82-JD-84, Renault, Megane, 1992, 10379327, 2996
36-CF-96, Renault, Espace, 2007, 8857705, 3001
24-QC-87, Renault, Kangoo, 1997, 8108048, 3005
34-CK-91, Renault, Kangoo, 2002, 7897739, 3010
08-KV-57, Renault, Kangoo, 1997, 1187850, 3014
50-RF-84, Renault, Kangoo, 1991, 12577727, 3021
27-FD-77, Renault, Espace, 1992, 2794118, 3039
93-LS-91, Renault, Megane, 2004, 4793500, 3041
55-JB-66, Renault, Kangoo, 1994, 2774685, 3050
17-GE-36, Renault, Kangoo, 2009, 6648019, 3054
15-OR-25, Renault, Kangoo, 2006, 14324226, 3073
40-BC-84, Renault, Megane, 1993, 14601442, 3074
23-JG-40, Renault, Espace, 1999, 4829509, 3075
57-LA-97, Renault, Espace, 1996, 9800944, 3081
44-VA-17, Renault, Kangoo, 2010, 11752207, 3091
22-BD-78, Renault, Megane, 1995, 14254922, 3093
98-MG-90, Renault, Megane, 1993, 12270707, 3122
61-VE-46, Renault, Kangoo, 2005, 2878377, 3134
25-CS-37, Renault, Megane, 2008, 13762346, 3194
23-PM-20, Renault, Megane, 2001, 14197326, 3213
32-RI-71, Renault, Megane, 1996, 4793500, 3222
37-TU-92, Renault, Megane, 2004, 7562837, 3237
87-KK-64, Renault, Espace, 2006, 8189733, 3244
22-UM-09, Renault, Espace, 2008, 5391442, 3249
91-KU-07, Renault, Espace, 2005, 8744366, 3269
51-BI-47, Renault, Espace, 2007, 7510408, 3270
66-QK-96, Renault, Megane, 2000, 4091584, 3296
59-OJ-61, Renault, Megane, 1996, 1733233, 3337
20-CM-19, Renault, Megane, 2001, 10453934, 3345
94-CL-88, Renault, Megane, 1990, 12666524, 3348
79-FH-64, Renault, Megane, 1992, 4180733, 3368
20-HU-18, Renault, Kangoo, 2005, 2235328, 3390
50-CI-38, Renault, Megane, 1990, 1008156, 3408
41-QE-59, Renault, Kangoo, 2009, 1566088, 3429
53-PA-50, Renault, Kangoo, 2010, 13452056, 3436
44-IJ-93, Renault, Espace, 2003, 1271844, 3470
28-ON-57, Renault, Megane, 2003, 5174014, 3471
60-SJ-79, Renault, Megane, 1998, 7713371, 3486
99-HD-83, Renault, Megane, 1990, 7765190, 3540
98-BV-83, Renault, Megane, 1993, 14366378, 3545
76-RB-81, Renault, Kangoo, 2005, 9581421, 3555
41-BH-11, Renault, Espace, 1998, 2312597, 3556
25-RA-69, Renault, Kangoo, 1997, 7559468, 3570
91-CT-73, Renault, Megane, 1996, 13921444, 3571
11-LU-69, Renault, Kangoo, 2009, 14029877, 3580
26-NE-13, Renault, Megane, 2006, 5303793, 3597
53-QN-76, Renault, Kangoo, 1992, 13182969, 3600
93-DN-48, Renault, Megane, 1999, 7585633, 3605
68-FP-17, Renault, Megane, 2000, 4270038, 3606
72-KL-73, Renault, Espace, 2008, 4978126, 3617
13-IF-66, Renault, Espace, 2009, 13038618, 3630
36-UF-15, Renault, Kangoo, 2004, 14391284, 3631
40-IE-57, Renault, Espace, 2001, 7320329, 3642
33-EB-26, Renault, Kangoo, 1994, 14288995, 3647
87-LB-20, Renault, Espace, 1997, 4678724, 3654
64-TQ-90, Renault, Kangoo, 1995, 1405815, 3659
11-ED-44, Renault, Megane, 2008, 9306971, 3676
38-DS-51, Renault, Kangoo, 2005, 2317398, 3685
27-JK-64, Renault, Megane, 1993, 2768114, 3691
08-LM-27, Renault, Megane, 2009, 4443553, 3699
73-GA-06, Renault, Espace, 1995, 7006669, 3708
67-ME-54, Renault, Kangoo, 1998, 8222316, 3710
09-BB-78, Renault, Kangoo, 2007, 9969680, 3737
00-JI-27, Renault, Kangoo, 1997, 13659143, 3745
15-DP-06, Renault, Espace, 2009, 8155805, 3761
02-KJ-46, Renault, Megane, 1990, 14080956, 3770
91-RJ-12, Renault, Espace, 2010, 6354423, 3820
67-OA-70, Renault, Megane, 2008, 8048022, 3825
02-CQ-77, Renault, Kangoo, 1996, 11174840, 3857
01-DM-81, Renault, Megane, 2003, 13526221, 3868
78-IO-27, Renault, Megane, 2010, 3004396, 3874
61-GL-65, Renault, Espace, 1991, 10126263, 3890
57-VG-41, Renault, Espace, 1996, 6376807, 3896
94-FN-17, Renault, Espace, 1991, 2243385, 3900
92-PS-08, Renault, Megane, 1996, 3895769, 3902
96-IH-96, Renault, Megane, 2006, 10469811, 3904
90-DQ-53, Renault, Megane, 1992, 4246468, 3920
04-JG-07, Renault, Megane, 2005, 11846196, 3923
38-PI-40, Renault, Kangoo, 2003, 3774046, 3926
60-TA-11, Renault, Megane, 2002, 1873382, 3938
80-JN-92, Renault, Kangoo, 2009, 6677376, 3941
74-IR-19, Renault, Kangoo, 1991, 6929004, 3944
60-SL-74, Renault, Megane, 2008, 12014951, 3961
22-MN-83, Renault, Megane, 1995, 8588338, 3962
71-TV-40, Renault, Kangoo, 2000, 5084718, 3981
06-PI-66, Renault, Espace, 1995, 2419375, 3982
57-VD-18, Renault, Kangoo, 2007, 10794142, 3997
75-VG-37, Renault, Espace, 1994, 11828867, 4006
25-DR-06, Renault, Megane, 1993, 12670728, 4012
89-LT-09, Renault, Megane, 2002, 9743235, 4018
57-HT-03, Renault, Espace, 1991, 7303293, 4059
71-NE-26, Renault, Kangoo, 2010, 13791683, 4066
86-UM-85, Renault, Kangoo, 1991, 5454141, 4070
50-KP-50, Renault, Espace, 1994, 12589603, 4089
45-MJ-45, Renault, Kangoo, 2007, 9973567, 4093
89-ME-21, Renault, Espace, 1990, 5728235, 4123
15-FK-92, Renault, Megane, 2001, 3342459, 4133
40-VP-09, Renault, Megane, 2010, 6075474, 4136
41-VF-58, Renault, Kangoo, 2001, 6734757, 4157
43-FQ-63, Renault, Kangoo, 1994, 12876950, 4184
74-CO-09, Renault, Kangoo, 1999, 8659689, 4206
62-OG-61, Renault, Megane, 1997, 1419003, 4216
48-IK-62, Renault, Kangoo, 1995, 4712898, 4256
26-BG-76, Renault, Kangoo, 2010, 9215907, 4266
92-FN-79, Renault, Espace, 2005, 9688961, 4296
85-DF-86, Renault, Megane, 1990, 13048635, 4309
37-CQ-16, Renault, Megane, 2007, 7006816, 4317
29-JA-75, Renault, Kangoo, 2002, 10897182, 4321
83-FH-11, Renault, Espace, 1994, 10107661, 4327
30-GU-17, Renault, Espace, 2003, 3241391, 4336
60-ME-16, Renault, Kangoo, 1997, 3688335, 4364
11-IK-27, Renault, Espace, 2001, 7472511, 4365
94-BC-48, Renault, Kangoo, 2010, 4881452, 4377
55-JR-23, Renault, Megane, 2001, 4651683, 4386
54-HC-14, Renault, Espace, 2004, 10934067, 4396
40-LO-34, Renault, Espace, 1996, 12195906, 4412
49-GM-07, Renault, Kangoo, 1996, 11513759, 4434
72-CO-80, Renault, Kangoo, 2006, 7861880, 4460
90-JF-16, Renault, Espace, 1993, 8694116, 4474
97-OU-12, Renault, Kangoo, 2000, 1232492, 4495
84-QQ-47, Renault, Megane, 1992, 3373353, 4510
45-BM-52, Renault, Kangoo, 1993, 7613414, 4520
60-PS-92, Renault, Kangoo, 2007, 13889130, 4525
46-MQ-34, Renault, Megane, 1990, 5906074, 4557
90-AC-74, Renault, Espace, 2009, 6149839, 4563
17-JJ-49, Renault, Espace, 1995, 5683783, 4566
05-LN-92, Renault, Megane, 1995, 5478776, 4571
76-AV-49, Renault, Kangoo, 1995, 8098289, 4580
89-DC-96, Renault, Kangoo, 2008, 12602211, 4617
35-AQ-32, Renault, Espace, 1991, 2951561, 4630
29-BM-27, Renault, Megane, 2010, 1062390, 4631
31-IG-17, Renault, Megane, 2003, 2334978, 4633
87-RK-91, Renault, Kangoo, 1991, 11063090, 4634
07-HU-81, Renault, Kangoo, 1990, 4412625, 4662
96-IO-69, Renault, Kangoo, 2003, 4220340, 4668
11-SB-90, Renault, Kangoo, 1998, 14108451, 4678
73-MT-12, Renault, Kangoo, 1993, 9023790, 4696
26-BK-78, Renault, Espace, 2001, 14043461, 4703
69-DU-23, Renault, Kangoo, 2006, 6520015, 4705
56-SS-52, Renault, Espace, 1993, 1337822, 4709
56-GF-55, Renault, Espace, 1991, 8164089, 4739
61-JC-36, Renault, Megane, 1999, 14081911, 4740
05-DE-53, Renault, Kangoo, 1996, 9694760, 4743
83-VD-81, Renault, Espace, 1999, 7259432, 4759
99-JR-07, Renault, Kangoo, 1991, 3466236, 4773
32-BV-14, Renault, Espace, 2002, 6246583, 4788
97-KR-70, Renault, Megane, 1997, 12260968, 4811
44-TQ-63, Renault, Kangoo, 2008, 5120970, 4850
95-IN-59, Renault, Espace, 2004, 5174014, 4852
86-PN-47, Renault, Megane, 1990, 6542724, 4861
07-UF-41, Renault, Espace, 2005, 6828785, 4878
64-AS-24, Renault, Kangoo, 2006, 2951561, 4881
47-NE-48, Renault, Megane, 1995, 14927042, 4895
23-PH-67, Renault, Espace, 1990, 13608771, 4901
23-GU-17, Renault, Kangoo, 2000, 7593526, 4912
30-NU-56, Renault, Kangoo, 2001, 14386919, 4943
54-AA-33, Renault, Espace, 1993, 1252088, 4947
90-DT-15, Renault, Megane, 2005, 9553508, 4948
55-BV-55, Renault, Kangoo, 2001, 3609510, 4956
34-JP-36, Renault, Kangoo, 1998, 6817963, 4965
98-EQ-02, Renault, Kangoo, 1998, 1939520, 4974
89-UT-85, Renault, Megane, 2007, 1607891, 4979
79-TI-88, Renault, Espace, 2006, 8631005, 4984
64-RE-75, Renault, Kangoo, 2002, 9010087, 4993
44-EK-26, Renault, Kangoo, 1999, 4865664, 4994
36-CD-72, Renault, Kangoo, 2007, 12519381, 4999
36-PB-50, Renault, Kangoo, 2008, 4129614, 5004
24-TK-99, Renault, Kangoo, 2005, 13049415, 5007
68-PU-24, Renault, Megane, 1991, 12719269, 5012
05-IK-18, Renault, Espace, 1991, 11626000, 5031
16-CE-05, Renault, Megane, 2000, 12897953, 5048
11-GV-68, Renault, Espace, 1994, 13921444, 5071
59-AI-08, Renault, Espace, 1993, 4681173, 5081
85-EQ-13, Renault, Megane, 1998, 6111130, 5083
35-DA-17, Renault, Kangoo, 1992, 12616189, 5085
45-BH-64, Renault, Megane, 1996, 1248666, 5109
81-VH-49, Renault, Espace, 2008, 1064202, 5127
70-KI-87, Renault, Espace, 2002, 5074192, 5129
69-DI-25, Renault, Kangoo, 1999, 1192307, 5132
31-JE-32, Renault, Espace, 1991, 10322555, 5140
68-SL-30, Renault, Espace, 2008, 6187349, 5164
60-TO-79, Renault, Espace, 1990, 14073342, 5172
04-AL-27, Renault, Espace, 1995, 6903913, 5177
08-IT-23, Renault, Espace, 1992, 10543678, 5181
68-SM-76, Renault, Espace, 1999, 5094909, 5182
22-KD-48, Renault, Espace, 1995, 9695157, 5248
15-NC-53, Renault, Kangoo, 2009, 2966917, 5250
48-NO-40, Renault, Megane, 2002, 7396105, 5253
43-OH-34, Renault, Megane, 1992, 4792135, 5262
47-EL-87, Renault, Espace, 1994, 13167430, 5276
61-SH-23, Renault, Espace, 1999, 14471655, 5292
92-MA-66, Renault, Megane, 1996, 2867114, 5322
36-LT-62, Renault, Megane, 2008, 10650572, 5323
07-DH-78, Renault, Espace, 1991, 7170717, 5324
47-TL-81, Renault, Megane, 2004, 4244756, 5364
30-CL-51, Renault, Espace, 1990, 5967813, 5385
30-RA-64, Renault, Kangoo, 2000, 11144143, 5397
07-BM-78, Renault, Kangoo, 2007, 7352000, 5433
67-QC-79, Renault, Kangoo, 1990, 1265830, 5438
38-TK-96, Renault, Megane, 1999, 4040961, 5441
40-HN-39, Renault, Kangoo, 1993, 2939018, 5445
21-VL-67, Renault, Kangoo, 2000, 1763056, 5494
21-VP-70, Renault, Megane, 1990, 11750312, 5541
42-AM-63, Renault, Megane, 1993, 12786226, 5555
56-TG-65, Renault, Megane, 1992, 7282730, 5559
98-DK-46, Renault, Kangoo, 1994, 6327558, 5561
03-EH-82, Renault, Espace, 1993, 14183316, 5570
40-UO-97, Renault, Espace, 1999, 12242826, 5600
80-AU-95, Renault, Kangoo, 1991, 5355976, 5610
14-MA-67, Renault, Megane, 1996, 1850312, 5618
03-LE-75, Renault, Megane, 1993, 6255062, 5621
79-BV-33, Renault, Kangoo, 2006, 2768114, 5644
61-VS-17, Renault, Espace, 2006, 9336681, 5649
27-PM-98, Renault, Espace, 1991, 1947071, 5651
55-IL-13, Renault, Megane, 2009, 7162895, 5675
54-RS-09, Renault, Megane, 1995, 13261284, 5679
34-FS-50, Renault, Kangoo, 2003, 14850818, 5686
45-CA-42, Renault, Kangoo, 2001, 7891583, 5708
32-BB-85, Renault, Megane, 2001, 11727995, 5738
47-TC-34, Renault, Megane, 1998, 10151965, 5739
08-EQ-48, Renault, Espace, 2005, 8288305, 5755
36-DJ-87, Renault, Espace, 1998, 2970204, 5776
39-CG-00, Renault, Kangoo, 1991, 9094381, 5777
53-JN-74, Renault, Megane, 2007, 6076342, 5844
42-IU-90, Renault, Kangoo, 2008, 10441690, 5850
50-QG-37, Renault, Espace, 2007, 11853262, 5851
58-RE-45, Renault, Kangoo, 2010, 2937958, 5855
14-TH-99, Renault, Kangoo, 1996, 6708977, 5897
69-MP-70, Renault, Espace, 1995, 7744460, 5925
46-NE-09, Renault, Espace, 1990, 4505299, 5931
04-OF-53, Renault, Kangoo, 2004, 11011397, 5944
59-GJ-08, Renault, Megane, 2006, 3884567, 5974
16-HA-27, Renault, Espace, 1993, 3890268, 5975
81-HN-76, Renault, Megane, 1994, 7486310, 5988
93-TN-33, Renault, Espace, 1991, 11804048, 5993
43-NE-50, Renault, Espace, 1998, 10111966, 5997
53-MP-22, Renault, Megane, 2009, 3375681, 6021
93-PS-61, Renault, Espace, 1997, 14689176, 6034
72-JM-13, Renault, Kangoo, 1990, 14701362, 6057
55-JL-03, Renault, Megane, 2009, 3772519, 6062
25-BC-29, Renault, Megane, 2010, 6233677, 6064
31-RD-92, Renault, Megane, 2005, 5407447, 6066
